127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/static/js/share.js, HTTP/1.1, 304, 0.000596
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000981
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000242
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/static/bower_components/clipboard/clippy.svg, HTTP/1.1, 200, 0.000328
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/default/eventView.json, HTTP/1.1, 200, 0.020758
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/static/bower_components/bootstrap-calendar/tmpls/month.html, HTTP/1.1, 304, 0.000287
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/static/bower_components/bootstrap-calendar/tmpls/month-day.html, HTTP/1.1, 304, 0.000252
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/static/bower_components/bootstrap-calendar/tmpls/events-list.html, HTTP/1.1, 304, 0.000264
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/static/images/twitter.png, HTTP/1.1, 304, 0.000368
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/static/images/facebook.png, HTTP/1.1, 304, 0.000348
127.0.0.1, 2016-08-31 18:12:51, GET, /CalenZone/static/images/gplus-32.png, HTTP/1.1, 304, 0.000367
127.0.0.1, 2016-08-31 18:12:54, GET, /CalenZone/default/createEvent, HTTP/1.1, 200, 0.028140
127.0.0.1, 2016-08-31 18:12:54, GET, /CalenZone/static/bower_components/jquery-ui/themes/smoothness/jquery-ui.min.css, HTTP/1.1, 200, 0.000514
127.0.0.1, 2016-08-31 18:12:54, GET, /CalenZone/static/bower_components/jquery-ui/jquery-ui.min.js, HTTP/1.1, 200, 0.000837
127.0.0.1, 2016-08-31 18:12:54, GET, /CalenZone/static/bower_components/bootstrap-tokenfield/dist/css/bootstrap-tokenfield.min.css, HTTP/1.1, 200, 0.001165
127.0.0.1, 2016-08-31 18:12:54, GET, /CalenZone/static/bower_components/bootstrap-tokenfield/dist/bootstrap-tokenfield.min.js, HTTP/1.1, 200, 0.000273
127.0.0.1, 2016-08-31 18:12:54, GET, /CalenZone/static/bower_components/jquery-ui/themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png, HTTP/1.1, 200, 0.000494
127.0.0.1, 2016-08-31 18:12:54, GET, /CalenZone/static/images/facebook.png, HTTP/1.1, 304, 0.000757
127.0.0.1, 2016-08-31 18:12:54, GET, /CalenZone/static/images/twitter.png, HTTP/1.1, 304, 0.001172
127.0.0.1, 2016-08-31 18:12:54, GET, /CalenZone/static/images/gplus-32.png, HTTP/1.1, 304, 0.000534
127.0.0.1, 2016-08-31 18:13:08, POST, /CalenZone/default/createEvent, HTTP/1.1, 500, 0.052810
127.0.0.1, 2016-08-31 18:13:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000314
127.0.0.1, 2016-08-31 18:13:10, GET, /admin/default/ticket/CalenZone/127.0.0.1.2016-08-31.18-13-08.7ff40e85-710b-4b6f-bbc9-5575bb816f8b, HTTP/1.1, 200, 0.082963
127.0.0.1, 2016-08-31 18:13:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000244
127.0.0.1, 2016-08-31 18:32:57, POST, /CalenZone/default/createEvent, HTTP/1.1, 500, 0.068055
127.0.0.1, 2016-08-31 18:32:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000236
127.0.0.1, 2016-08-31 18:33:00, GET, /admin/default/ticket/CalenZone/127.0.0.1.2016-08-31.18-32-57.f2f51f05-63f6-447b-8fe6-7f8c9e7b2b01, HTTP/1.1, 200, 0.061633
127.0.0.1, 2016-08-31 18:33:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000334
127.0.0.1, 2016-08-31 18:33:04, GET, /CalenZone/default/createEvent, HTTP/1.1, 200, 0.030166
127.0.0.1, 2016-08-31 18:33:05, GET, /CalenZone/default/calendar, HTTP/1.1, 200, 0.043299
127.0.0.1, 2016-08-31 18:33:05, GET, /CalenZone/default/eventView.json, HTTP/1.1, 200, 0.020466
127.0.0.1, 2016-08-31 18:33:05, GET, /CalenZone/static/images/favicon.ico, HTTP/1.1, 304, 0.001013
127.0.0.1, 2016-08-31 18:33:06, GET, /CalenZone/default/createEvent, HTTP/1.1, 200, 0.031674
127.0.0.1, 2016-08-31 18:33:17, POST, /CalenZone/default/createEvent, HTTP/1.1, 303, 0.188114
127.0.0.1, 2016-08-31 18:33:17, GET, /CalenZone/default/calendar, HTTP/1.1, 200, 0.024755
127.0.0.1, 2016-08-31 18:33:17, GET, /CalenZone/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000264
127.0.0.1, 2016-08-31 18:33:17, GET, /CalenZone/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000244
127.0.0.1, 2016-08-31 18:33:17, GET, /CalenZone/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000344
127.0.0.1, 2016-08-31 18:33:17, GET, /CalenZone/static/js/jquery.js, HTTP/1.1, 304, 0.000362
127.0.0.1, 2016-08-31 18:33:17, GET, /CalenZone/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.002208
127.0.0.1, 2016-08-31 18:33:17, GET, /CalenZone/static/css/calendar.css, HTTP/1.1, 304, 0.000439
127.0.0.1, 2016-08-31 18:33:17, GET, /CalenZone/static/js/web2py.js, HTTP/1.1, 304, 0.000397
127.0.0.1, 2016-08-31 18:33:17, GET, /CalenZone/static/bower_components/bootstrap-calendar/css/calendar.css, HTTP/1.1, 304, 0.000352
127.0.0.1, 2016-08-31 18:33:17, GET, /CalenZone/static/js/list.js, HTTP/1.1, 304, 0.000334
